,Unnamed: 0,left_ht,left_age,left_ace,left_df,left_svpt,left_1stIn,left_1stWon,left_2ndWon,left_SvGms,left_bpSaved,left_bpFaced,left_rank,left_rank_points,right_ht,right_age,right_ace,right_df,right_svpt,right_1stIn,right_1stWon,right_2ndWon,right_SvGms,right_bpSaved,right_bpFaced,right_rank,right_rank_points,left_name,right_name,target,tourney_date,tourney_name
12020,6.0,183.0,25.934661560944598,5.090909090909091,3.787878787878788,75.31818181818181,41.93939393939394,30.166666666666668,15.666666666666666,11.818181818181818,4.409090909090909,7.651515151515151,103.94594594594595,415.31081081081084,180.0,20.155642668992424,4.664,2.76,75.52,43.528,30.656,15.896,11.36,4.744,7.4,62.74242424242424,703.0075757575758,Attila Savolt,Andreas Vinciguerra,1,2003-05-26,Roland Garros
35197,160.0,175.0,25.710691823899204,3.493150684931507,3.043835616438356,73.97808219178083,44.83835616438356,31.15068493150685,14.331506849315069,11.515068493150684,3.9342465753424656,6.8191780821917805,64.42587601078166,773.4474393530998,190.0,25.978303219267907,7.7534246575342465,3.410958904109589,77.23630136986301,47.84931506849315,35.054794520547944,15.020547945205479,12.202054794520548,3.7157534246575343,6.044520547945205,83.87959866220736,615.9531772575251,Albert Montanes,Michael Llodra,1,2010-10-25,Montpellier
6789,781.0,175.0,20.985261236591107,4.377777777777778,3.0444444444444443,76.95555555555555,47.08888888888889,33.111111111111114,15.088888888888889,11.822222222222223,4.444444444444445,6.911111111111111,85.37777777777778,525.2888888888889,183.0,25.392483644527914,4.857142857142857,3.6857142857142855,75.02857142857142,40.22857142857143,29.285714285714285,15.942857142857143,11.771428571428572,4.828571428571428,8.314285714285715,116.53488372093024,374.74418604651163,Albert Montanes,Attila Savolt,1,2002-05-20,St. Poelten
109674,563.0,,20.5667351129,,,,,,,,,,1396.0,2.0,,21.388698760355553,,,,,,,,,,1300.4285714285713,3.857142857142857,Mohsen Hossein Zade,David Agung Susanto,0,2015-03-06,Davis Cup G2 R1: INA vs IRI
7752,743.0,183.0,20.98096059681953,4.406451612903226,3.296774193548387,81.48387096774194,48.12903225806452,33.83225806451613,18.025806451612905,12.703225806451613,4.496774193548387,7.058064516129032,13.165680473372781,2028.7278106508875,175.0,22.71103265807484,5.0754716981132075,1.6037735849056605,78.77987421383648,44.905660377358494,31.943396226415093,18.062893081761008,12.150943396226415,4.144654088050315,6.610062893081761,17.4093567251462,1649.4093567251462,Juan Carlos Ferrero,Sebastien Grosjean,1,2002-04-15,Monte Carlo Masters
66884,816.0,183.0,22.683823864933327,6.581632653061225,4.6938775510204085,79.15306122448979,42.56122448979592,31.357142857142858,18.336734693877553,12.387755102040817,4.387755102040816,7.163265306122449,21.35238095238095,1283.057142857143,185.0,24.458818161082142,6.253164556962025,3.151898734177215,76.12658227848101,39.77215189873418,29.329113924050635,18.59493670886076,11.924050632911392,3.7468354430379747,6.341772151898734,33.726190476190474,974.2857142857143,Dominik Hrbaty,Nicolas Escude,0,2001-06-18,'s-Hertogenbosch
116270,152.0,183.0,26.253434229617415,7.056213017751479,2.7544378698224854,84.26183431952663,48.655325443786985,35.73224852071006,19.10355029585799,13.244082840236686,4.035502958579881,6.359467455621302,25.536211699164344,2714.6448467966575,206.0,27.48655628751412,17.526011560693643,2.2870905587668595,88.4354527938343,60.712909441233144,47.41233140655106,15.545279383429673,14.246628131021195,3.0289017341040463,4.2601156069364166,36.82899628252788,1714.596654275093,Stan Wawrinka,John Isner,0,2017-05-15,Rome Masters
85238,151.0,180.0,21.287474332649108,6.872093023255814,2.63953488372093,83.76744186046511,46.41860465116279,33.46511627906977,18.546511627906977,13.232558139534884,4.058139534883721,7.313953488372093,127.16071428571429,399.9107142857143,188.0,23.01984941820783,9.115646258503402,3.5476190476190474,82.87074829931973,48.37074829931973,36.3843537414966,17.571428571428573,13.023809523809524,4.01360544217687,6.295918367346939,55.44625407166124,825.9315960912052,Janko Tipsarevic,Feliciano Lopez,0,2007-08-19,New Haven
27282,253.0,175.0,24.054129591602074,3.440677966101695,3.139830508474576,73.12288135593221,44.66525423728814,30.63135593220339,13.745762711864407,11.411016949152541,3.9915254237288136,7.059322033898305,78.2375,526.8416666666667,180.0,21.842407088813513,7.416666666666667,2.691666666666667,84.55,46.666666666666664,34.19166666666667,18.916666666666668,13.275,4.15,7.2,107.95270270270271,477.88513513513516,Albert Montanes,Janko Tipsarevic,1,2008-05-11,Hamburg Masters
96839,741.0,180.0,21.26078028747381,8.425,2.925,80.6,43.7,31.7,18.975,12.75,4.55,7.475,85.61904761904762,756.6666666666666,188.0,22.416427104730005,8.467625899280575,3.6546762589928057,78.84892086330935,46.02877697841727,34.17985611510792,16.47482014388489,12.194244604316546,3.949640287769784,6.273381294964029,72.5,938.4571428571429,Alexandr Dolgopolov,Jeremy Chardy,0,2010-10-10,Shanghai Masters
